player_id,birth_date,zodiac,dob_source,dob_verified
2734,1996-06-11,Gemini,Wikidata:Q16727516,False
2752,1992-09-25,Libra,Wikidata:Q6784737,False
2771,1996-10-08,Libra,Wikidata:Q20730338,False
2806,1991-12-20,Sagittarius,Wikidata:Q673691,False
2817,1997-10-12,Libra,Wikidata:Q23887939,False
2823,1996-08-13,Leo,Wikidata:Q19594166,False
2855,1994-08-02,Leo,Wikidata:Q5371332,False
2864,1999-09-21,Virgo,Wikidata:Q23759917,False
2869,1997-10-24,Scorpio,Wikidata:Q27859514,False
2887,1991-05-05,Taurus,API-Football-ID,True
2919,1992-02-26,Pisces,Wikidata:Q6792066,False
2920,1995-12-05,Sagittarius,Wikidata:Q18041089,False
2926,1997-05-07,Taurus,Wikidata:Q14327453,False
2931,1986-04-15,Aries,Wikidata:Q357912,False
2932,1994-03-07,Pisces,Wikidata:Q13014035,False
2934,,,,False
2935,1993-03-05,Pisces,Wikidata:Q165772,False
2936,1992-11-19,Scorpio,Wikidata:Q6144020,False
2937,1999-01-14,Capricorn,Wikidata:Q30007142,False
2938,1994-11-01,Scorpio,Wikidata:Q2643777,False
2939,,,,False
2990,,,,False
2997,1985-04-18,Aries,Wikidata:Q40596,False
2999,1996-04-12,Aries,Wikidata:Q16212492,False
3339,2000-01-08,Capricorn,Wikidata:Q47490408,False
3428,1991-09-11,Virgo,Wikidata:Q367861,False
5996,,,,False
6056,,,,False
6610,1997-05-10,Taurus,Wikidata:Q23413053,False
6716,1998-12-24,Capricorn,Wikidata:Q33297140,False
7029,2000-07-04,Cancer,Wikidata:Q105944501,False
7600,1998-02-07,Aquarius,Wikidata:Q25983385,False
8500,1993-02-09,Aquarius,Wikidata:Q10526787,False
8598,1997-08-12,Leo,Wikidata:Q20932574,False
8694,1998-04-03,Aries,Wikidata:Q30014588,False
8794,,,,False
9971,,,,False
10135,1997-11-16,Scorpio,Wikidata:Q58323172,False
10329,,,,False
10373,,,,False
13489,2003-12-13,Sagittarius,Wikidata:Q64748320,False
13736,1996-05-25,Gemini,Wikidata:Q56703599,False
15745,1999-06-24,Cancer,Wikidata:Q29319616,False
15797,1999-08-10,Leo,Wikidata:Q42393774,False
15799,1998-01-01,Capricorn,Wikidata:Q56292818,False
15812,1994-05-28,Gemini,Wikidata:Q15729123,False
15870,2000-07-11,Cancer,Wikidata:Q65229910,False
15884,2000-02-29,Pisces,Wikidata:Q65967193,False
15908,2000-07-03,Cancer,Wikidata:Q45034698,False
15911,2000-08-02,Leo,Wikidata:Q56877051,False
17365,1995-08-19,Leo,Wikidata:Q18638102,False
17579,1995-09-24,Libra,Wikidata:Q16237035,False
17597,1999-03-04,Pisces,Wikidata:Q56331751,False
17661,2002-06-27,Cancer,Wikidata:Q70780349,False
17714,1998-10-21,Libra,Wikidata:Q35554570,False
17736,1997-07-19,Cancer,Wikidata:Q38776669,False
17739,1997-08-31,Virgo,Wikidata:Q21005715,False
18146,,,,False
18397,,,,False
18592,2000-03-06,Pisces,Wikidata:Q105956269,False
18737,1986-10-24,Scorpio,Wikidata:Q247312,False
18739,1991-02-03,Aquarius,Wikidata:Q570983,False
18741,1993-02-25,Pisces,Wikidata:Q723606,False
18742,,,,False
18744,1997-05-23,Gemini,API-Football-ID,True
18746,2000-01-27,Aquarius,Wikidata:Q28147578,False
18753,,,,False
18755,1999-10-10,Libra,Wikidata:Q57315493,False
18758,1988-10-11,Libra,Wikidata:Q316724,False
18766,1997-03-16,Pisces,Wikidata:Q19956709,False
18771,1993-10-06,Libra,Wikidata:Q3718523,False
18772,1988-01-03,Capricorn,Wikidata:Q29495,False
18778,1997-12-09,Sagittarius,Wikidata:Q27974879,False
18779,1997-10-01,Libra,Wikidata:Q23771218,False
18784,,,,False
18786,1996-12-16,Sagittarius,Wikidata:Q19587938,False
18788,1987-01-11,Capricorn,Wikidata:Q6147586,False
18805,1993-01-01,Capricorn,Wikidata:Q13427925,False
18806,1995-04-17,Aries,Wikidata:Q133920,False
18813,1989-12-15,Sagittarius,Wikidata:Q3603066,False
18814,1997-01-09,Capricorn,Wikidata:Q21621180,False
18819,1990-03-28,Aries,Wikidata:Q1966430,False
18823,2000-01-24,Aquarius,Wikidata:Q61906182,False
18843,1992-12-23,Capricorn,Wikidata:Q323046,False
18846,1997-11-26,Sagittarius,Wikidata:Q50137347,False
18847,1989-10-29,Scorpio,Wikidata:Q2621755,False
18858,1987-06-20,Gemini,Wikidata:Q431368,False
18860,1999-05-18,Taurus,Wikidata:Q59913688,False
18861,1995-02-18,Aquarius,Wikidata:Q1755683,False
18862,1991-04-05,Aries,Wikidata:Q714067,False
18869,1991-04-29,Taurus,API-Football-ID,True
18870,,,,False
18872,1997-02-03,Aquarius,API-Football-ID,True
18873,1994-02-24,Pisces,Wikidata:Q44527,False
18883,1997-09-14,Virgo,Wikidata:Q18336397,False
18886,1989-01-15,Capricorn,Wikidata:Q510401,False
18901,1997-10-30,Scorpio,Wikidata:Q28542599,False
