player_id,player_name,teams,positions,first_seen,last_seen,appearances,starts,birth_date,zodiac,dob_source,dob_verified
2855,Emil Krafth,Newcastle,D,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,3,2,,,,False
1161,Emile Smith Rowe,Fulham,M,2024-08-16 19:00:00+00:00,2024-10-26 16:30:00+00:00,9,8,,,,False
19071,Emiliano Buendía,Aston Villa,M,2024-08-17 16:30:00+00:00,2024-10-26 14:00:00+00:00,4,0,,,,False
19599,Emiliano Martínez,Aston Villa,G,2024-08-17 16:30:00+00:00,2024-10-26 14:00:00+00:00,9,9,,,,False
47499,Enes Ünal,Bournemouth,F,2024-09-14 19:00:00+00:00,2024-11-02 15:00:00+00:00,7,1,,,,False
5996,Enzo Fernández,Chelsea,M,2024-08-18 15:30:00+00:00,2024-10-27 13:00:00+00:00,8,6,,,,False
380492,Eric da Silva Moreira,Nottingham Forest,F,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
1100,Erling Haaland,Manchester City,F,2024-08-18 15:30:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
313236,Ethan Nwaneri,Arsenal,M,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,5,0,,,,False
19789,Ethan Pinnock,Brentford,D,2024-08-18 13:00:00+00:00,2024-10-26 14:00:00+00:00,9,9,,,,False
362270,Ethan Wheatley,Manchester United,F,2024-09-01 15:00:00+00:00,2024-10-27 13:00:00+00:00,0,0,,,,False
129643,Evan Ferguson,Brighton,F,2024-09-14 14:00:00+00:00,2024-11-02 15:00:00+00:00,6,1,,,,False
152856,Evanilson,Bournemouth,F,2024-08-25 13:00:00+00:00,2024-11-02 15:00:00+00:00,9,8,,,,False
19354,Ezri Konsa,Aston Villa,D,2024-08-17 16:30:00+00:00,2024-10-26 14:00:00+00:00,8,8,,,,False
2806,Fabian Schär,Newcastle,D,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,8,8,,,,False
153066,Fabio Carvalho,Brentford,F | M,2024-08-18 13:00:00+00:00,2024-10-26 14:00:00+00:00,9,2,,,,False
311334,Facundo Buonanotte,Leicester,F | M,2024-08-19 19:00:00+00:00,2024-11-02 15:00:00+00:00,9,7,,,,False
30410,Federico Chiesa,Liverpool,F,2024-09-21 14:00:00+00:00,2024-09-28 16:30:00+00:00,1,0,,,,False
1361,Ferdi Kadıoğlu,Brighton,D | M,2024-09-14 14:00:00+00:00,2024-11-02 15:00:00+00:00,6,5,,,,False
286616,Filip Jørgensen,Chelsea,G,2024-08-18 15:30:00+00:00,2024-10-27 13:00:00+00:00,0,0,,,,False
19733,Flynn Downes,Southampton,M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
340136,Franco Umeh,Crystal Palace,F,2024-09-01 12:30:00+00:00,2024-11-02 17:30:00+00:00,0,0,,,,False
15799,Frank Onyeka,Brentford,M,2024-08-18 13:00:00+00:00,2024-08-25 15:30:00+00:00,2,0,,,,False
18932,Fraser Forster,Tottenham,G,2024-08-24 14:00:00+00:00,2024-10-27 13:00:00+00:00,0,0,,,,False
643,Gabriel Jesus,Arsenal,F,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,8,1,,,,False
22224,Gabriel Magalhães,Arsenal,D,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,10,10,,,,False
127769,Gabriel Martinelli,Arsenal,F | M,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,10,7,,,,False
17739,George Edmundson,Ipswich,D,2024-08-24 14:00:00+00:00,2024-08-24 14:00:00+00:00,1,0,,,,False
8794,George Hirst,Ipswich,F,2024-09-14 14:00:00+00:00,2024-11-02 15:00:00+00:00,7,1,,,,False
90590,Georginio Rutter,Brighton,F | M,2024-08-24 11:30:00+00:00,2024-11-02 15:00:00+00:00,9,7,,,,False
925,Gonçalo Guedes,Wolves,F,2024-08-17 14:00:00+00:00,2024-11-02 17:30:00+00:00,7,0,,,,False
31354,Guglielmo Vicario,Tottenham,G,2024-08-19 19:00:00+00:00,2024-10-27 13:00:00+00:00,9,9,,,,False
2476,Guido Rodríguez,West Ham,M,2024-08-17 16:30:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
31057,Hamed Junior Traorè,Bournemouth,M,2024-08-17 14:00:00+00:00,2024-08-17 14:00:00+00:00,0,0,,,,False
